id,name,address,email,phone,cardId,createdAt,updatedAt
1,Customer1,,huygiapboy@gmail.com,,0000001,2022-11-26,2022-11-26
2,Customer2,,huygiapboy@gmail.com,,0000002,2022-11-26,2022-11-26
3,Customer3,,huygiapboy@gmail.com,,0000003,2022-11-26,2022-11-26
4,Customer4,,huygiapboy@gmail.com,,0000004,2022-11-26,2022-11-26
5,Customer5,,huygiapboy@gmail.com,,0000005,2022-11-26,2022-11-26
6,Customer6,,huygiapboy@gmail.com,,0000006,2022-11-26,2022-11-26
7,Customer7,,huygiapboy@gmail.com,,0000007,2022-11-26,2022-11-26
8,Customer8,,huygiapboy@gmail.com,,0000008,2022-11-26,2022-11-26
9,Customer9,,huygiapboy@gmail.com,,0000009,2022-11-26,2022-11-26
10,Customer10,,huygiapboy@gmail.com,,0000010,2022-11-26,2022-11-26
11,Customer11,,huygiapboy@gmail.com,,0000011,2022-11-26,2022-11-26
12,Customer12,,huygiapboy@gmail.com,,0000012,2022-11-26,2022-11-26
13,Customer13,,huygiapboy@gmail.com,,0000013,2022-11-26,2022-11-26
14,Customer14,,huygiapboy@gmail.com,,0000014,2022-11-26,2022-11-26
15,Customer15,,huygiapboy@gmail.com,,0000015,2022-11-26,2022-11-26
16,Customer16,,huygiapboy@gmail.com,,0000016,2022-11-26,2022-11-26
17,Customer17,,huygiapboy@gmail.com,,0000017,2022-11-26,2022-11-26
18,Customer18,,huygiapboy@gmail.com,,0000018,2022-11-26,2022-11-26
19,Customer19,,huygiapboy@gmail.com,,0000019,2022-11-26,2022-11-26
20,Customer20,,huygiapboy@gmail.com,,0000020,2022-11-26,2022-11-26
21,Customer21,,huygiapboy@gmail.com,,0000021,2022-11-26,2022-11-26
22,Customer22,,huygiapboy@gmail.com,,0000022,2022-11-26,2022-11-26
23,Customer23,,huygiapboy@gmail.com,,0000023,2022-11-26,2022-11-26
24,Customer24,,huygiapboy@gmail.com,,0000024,2022-11-26,2022-11-26
25,Customer25,,huygiapboy@gmail.com,,0000025,2022-11-26,2022-11-26
26,Customer26,,huygiapboy@gmail.com,,0000026,2022-11-26,2022-11-26
27,Customer27,,huygiapboy@gmail.com,,0000027,2022-11-26,2022-11-26
28,Customer28,,huygiapboy@gmail.com,,0000028,2022-11-26,2022-11-26
29,Customer29,,huygiapboy@gmail.com,,0000029,2022-11-26,2022-11-26
30,Customer30,,huygiapboy@gmail.com,,0000030,2022-11-26,2022-11-26
31,Customer31,,huygiapboy@gmail.com,,0000031,2022-11-26,2022-11-26
32,Customer32,,huygiapboy@gmail.com,,0000032,2022-11-26,2022-11-26
33,Customer33,,huygiapboy@gmail.com,,0000033,2022-11-26,2022-11-26
34,Customer34,,huygiapboy@gmail.com,,0000034,2022-11-26,2022-11-26
35,Customer35,,huygiapboy@gmail.com,,0000035,2022-11-26,2022-11-26
36,Customer36,,huygiapboy@gmail.com,,0000036,2022-11-26,2022-11-26
37,Customer37,,huygiapboy@gmail.com,,0000037,2022-11-26,2022-11-26
38,Customer38,,huygiapboy@gmail.com,,0000038,2022-11-26,2022-11-26
39,Customer39,,huygiapboy@gmail.com,,0000039,2022-11-26,2022-11-26
40,Customer40,,huygiapboy@gmail.com,,0000040,2022-11-26,2022-11-26
41,Customer41,,huygiapboy@gmail.com,,0000041,2022-11-26,2022-11-26
42,Customer42,,huygiapboy@gmail.com,,0000042,2022-11-26,2022-11-26
43,Customer43,,huygiapboy@gmail.com,,0000043,2022-11-26,2022-11-26
44,Customer44,,huygiapboy@gmail.com,,0000044,2022-11-26,2022-11-26
45,Customer45,,huygiapboy@gmail.com,,0000045,2022-11-26,2022-11-26
46,Customer46,,huygiapboy@gmail.com,,0000046,2022-11-26,2022-11-26
47,Customer47,,huygiapboy@gmail.com,,0000047,2022-11-26,2022-11-26
48,Customer48,,huygiapboy@gmail.com,,0000048,2022-11-26,2022-11-26
49,Customer49,,huygiapboy@gmail.com,,0000049,2022-11-26,2022-11-26
50,Customer50,,huygiapboy@gmail.com,,0000050,2022-11-26,2022-11-26
51,Customer51,,huygiapboy@gmail.com,,0000051,2022-11-26,2022-11-26
52,Customer52,,huygiapboy@gmail.com,,0000052,2022-11-26,2022-11-26
53,Customer53,,huygiapboy@gmail.com,,0000053,2022-11-26,2022-11-26
54,Customer54,,huygiapboy@gmail.com,,0000054,2022-11-26,2022-11-26
55,Customer55,,huygiapboy@gmail.com,,0000055,2022-11-26,2022-11-26
56,Customer56,,huygiapboy@gmail.com,,0000056,2022-11-26,2022-11-26
57,Customer57,,huygiapboy@gmail.com,,0000057,2022-11-26,2022-11-26
58,Customer58,,huygiapboy@gmail.com,,0000058,2022-11-26,2022-11-26
59,Customer59,,huygiapboy@gmail.com,,0000059,2022-11-26,2022-11-26
60,Customer60,,huygiapboy@gmail.com,,0000060,2022-11-26,2022-11-26
61,Customer61,,huygiapboy@gmail.com,,0000061,2022-11-26,2022-11-26
